"id_grandprix";"id_track";"days";"months";"years";"bestlap_driver_id";"betlap_lap";"bestlap_time";"weather";"notes";"qnotes";"last_modification"
236;12;10;1;1995;31;;"1.21.180";"Облачно, холодно, влажно";"Запланировано 68 кругов, но дистанция сокращена на один круг из-за прерванного старта и дополнительного формирующего круга (Макс Папис заглох на стартовом поле).";;
237;28;22;10;1995;31;;"1.16.374";"Переменная облачность, тепло, сухо";;;
238;22;29;10;1995;31;;"1.42.976";"Пасмурно, холодно, дождь";"Жан Алези наказан штрафом ""stop&go"" за фальстарт.Дэймон Хилл наказан штрафом ""stop&go"" за превышение скорости на пит-лейн.";;
239;29;11;12;1995;72;;"1.17.943";"Переменная облачность, тепло, сухо";;;
240;18;27;3;1994;31;;"1.18.455";"Облачно, тепло, влажно";"Эдди Эрвайн наказан штрафом на одну гонку за инициирование столкновения с Йосом Ферстаппеном и Мартином Брандлом. После апелляции команды штраф увеличен до трех гонок.";;
241;28;17;4;1994;31;;"1.14.023";"Переменная облачность, тепло, сухо";;;
242;20;1;5;1994;72;;"1.24.335";"Переменная облачность, жарко, сухо";"Во время квалификации в результате поломки переднего антикрыла Роланд Ратценбергер разбился о барьер в Villeneuve и скончался в больнице в Болонье.Обломками от столкновения Джей-Джей Лехто и Педро Лами ранены три зрителя и смертельно ранен полицейский.Айртон Сенна разбился в Tamburello из-за поломки рулевой колонки. Получив травму головы от осколка передней подвески, гонщик скончался в больнице в Болонье. Запланирован 61 круг, но гонка остановлена после 5-го круга из-за аварии Айртона Сенны. Рестарт дан на 53 круга. Результаты суммированы.";;
243;6;15;5;1994;31;;"1.21.076";"Переменная облачность, тепло, сухо";"Первый ряд стартового поля был оставлен свободным в честь погибших в предыдущей гонке Айртона Сенны и Роланда Ратценбергера.";;
244;4;29;5;1994;31;;"1.25.155";"Переменная облачность, жарко, сухо";;;
245;7;6;12;1994;31;;"1.28.927";"Облачно, жарко, сухо";"Кристиан Фиттипальди дисквалифицирован за использование автомобиля легче 520 кг";;
246;8;7;3;1994;72;;"1.19.678";"Переменная облачность, очень жарко, сухо";;;
247;9;7;10;1994;72;;"1.27.100";"Переменная облачность, жарко, сухо";"Старт гонки прерван (Дэвид Култард заглох на стартовом поле), назначен дополнительный формирующий круг.Дэвид Култард стартовал с конца стартового поля.Алессандро Дзанарди стартовал с пит-лейн. Михаэль Шумахер наказан 5-секундным штрафом ""stop&go"" за обгон на формирующем круге, затем дисквалифицирован за слишком поздний заезд на отбывание штрафа, затем наказан отложенным штрафом на две гонки за игнорирование черного флага.Мика Хаккинен и Рубенс Баррикелло наказаны отложенным штрафом на одну гонку за столкновение на последнем круге.";;
248;10;31;7;1994;16;;"1.46.211";"Переменная облачность, жарко, сухо";"Мика Хаккинен наказан штрафом на одну гонку за инициирование массового столкновения на старте.";;
249;11;14;8;1994;31;;"1.20.881";"Переменная облачность, жарко, сухо";;;
250;13;28;8;1994;72;;"1.57.117";"Облачно, тепло, сухо";"Михаэль Шумахер дисквалифицирован за нарушения в измерениях доски скольжения, затем наказан штрафом на две гонки (отложенным со времени Гран При Великобритании).";;
251;14;9;11;1994;72;;"1.25.930";"Облачно, жарко, сухо";"Гонка остановлена в конце первого круга из-за массового столкновения. Рестарт дан на полную дистанцию.Эдди Эрвайн рестартовал с конца стартового поля. Позже наказан отложенным штрафом на одну гонку за инициирование массового столкновения во время первого старта.Джонни Херберт рестартовал с пит-лейн.";;
252;27;25;9;1994;16;;"1.24.466";"Переменная облачность, тепло, сухо";"Укио Катаяма стартовал с пит-лейн.Оливье Панис дисквалифицирован за нарушения в измерениях доски скольжения.";;
253;26;16;10;1994;31;;"1.25.040";"Облачно, жарко, сухо";"Хидеки Нода стартовал с пит-лейн";;
254;22;11;6;1994;72;;"1.56.597";"Пасмурно, холодно, дождь";"Запланировано 53 круга, но гонка остановлена после 13-го круга из-за дождя и аварий Джанни Морбиделли и Мартина Брандла. Рестарт дан на 37 кругов. Результаты суммированы.Хидеки Нода стартовал с пит-лейн.";;
255;29;13;11;1994;31;;"1.17.140";"Пасмурно, тепло, сухо";"Рубенс Баррикелло и Мика Хаккинен наказаны штрафом ""stop&go"" за превышение скорости на пит-лейн.";;
256;30;14;3;1993;116;;"1.19.492";"Пасмурно, тепло, сухо";;;
257;18;28;3;1993;31;;"1.20.024";"Облачно, тепло, влажно";"Михаэль Шумахер и Эрик Комас наказаны штрафом ""stop&go"".Айртон Сенна наказан штрафом ""stop&go"" за обгон под желтым флагом.Жан Алези дважды наказан штрафом ""stop&go"" за обгоны во время нахождения автомобиля безопасности на трассе.";;
258;31;4;11;1993;101;;"1.18.029";"Пасмурно, холодно, дождь";"Джей Джей Лехто стартовал с пит-лейн.Официальный самый быстрый круг в гонке Айртон Сенна показал, проезжая через пит-лейн.";;
259;20;25;4;1993;116;;"1.26.128";"Пасмурно, тепло, влажно";"Агури Сузуки наказан штрафом ""stop&go"" за блокирование";;
260;4;5;9;1993;31;;"1.20.989";"Облачно, тепло, сухо";"Джонни Херберт стартовал с конца стартового поля.Андреа де Чезарис дисквалифицирован за постороннюю помощь на трассе";;
261;6;23;5;1993;116;;"1.23.604";"Переменная облачность, тепло, сухо";"Ален Прост наказан штрафом ""stop&go"" за фальстарт";;
262;7;13;6;1993;31;;"1.21.500";"Переменная облачность, жарко, сухо";"Майкл Андретти стартовал с пит-лейн.";;
263;8;7;4;1993;31;;"1.19.256";"Переменная облачность, жарко, сухо";"Кристиан Фиттипальди прошел всю дистанцию гонки без пит-стопа";;
264;9;7;11;1993;72;;"1.22.515";"Пасмурно, тепло, сухо";;;
265;10;25;7;1993;31;;"1.41.859";"Переменная облачность, тепло, сухо";"Ален Прост и Мартин Брандл наказаны штрафом ""stop&go"" за срез шиканы.Кристиан Фиттипальди прошел всю дистанцию гонки без пит-стопа.Тьери Бутсен прошел всю дистанцию гонки без смены шин.";;
266;11;15;8;1993;116;;"1.19.633";"Солнечно, очень жарко, сухо";"Ален Прост стартовал с конца стартового поля";;
267;13;29;8;1993;116;;"1.51.095";"Переменная облачность, тепло, сухо";"Герхард Бергер стартовал с пит-лейн.";;
268;14;9;12;1993;72;;"1.23.575";"Солнечно, тепло, сухо";"Джей Джей Лехто стартовал с конца стартового поля";;
269;27;26;9;1993;72;;"1.14.859";"Солнечно, тепло, сухо";"Дэймон Хилл стартовал с конца стартового поля Джей Джей Лехто наказан штрафом ""stop&go"" за блокирование.Кристиан Фиттипальди прошел всю дистанцию гонки без пит-стопа";;
270;22;24;10;1993;116;;"1.41.176";"Облачно, тепло, дождь";" Айртон Сенна наказан отложенным штрафом на две гонки за удар Эдди Эрвайна.";;
271;29;11;7;1993;72;;"1.15.381";"Облачно, жарко, сухо";"Укио Катаяма стартовал с конца стартового поля";;
272;30;3;1;1992;143;;"1.17.578";"Пасмурно, тепло, сухо";;;
273;32;22;3;1992;78;;"1.17.711";"Облачно, жарко, сухо";"Стефано Модена стартовал с пит-лейн.";;
274;18;4;5;1992;118;;"1.19.490";"Солнечно, жарко, сухо";"Герхард Бергер стартовал с пит-лейн";;
275;4;5;3;1992;143;;"1.42.503";"Пасмурно, холодно, дождь";;;
276;20;17;5;1992;118;;"1.26.100";"Солнечно, жарко, сухо";"Стефано Модена стартовал с пит-лейн";;
277;6;31;5;1992;143;;"1.21.598";"Облачно, тепло, сухо";;;
278;7;14;6;1992;78;;"1.22.325";"Переменная облачность, жарко, сухо";"Стефано Модена стартовал с конца стартового поля. Бертран Гашо дисквалифицирован за постороннюю помощь на трассе после аварии.";;
279;8;7;5;1992;143;;"1.17.070";"Пасмурно, тепло, влажно";"Запланировано 72 круга, но гонка остановлена после 18-го круга из-за дождя. Рестарт дан на 51 круг. Результаты суммированы.";;
280;9;7;12;1992;143;;"1.22.539";"Облачно, тепло, сухо";;;
281;10;26;7;1992;118;;"1.41.591";"Переменная облачность, жарко, сухо";"Перри МакКарти исключен из Гран При за то, что пропустил взвешивание";;
282;11;16;8;1992;143;;"1.18.300";"Переменная облачность, жарко, сухо";;;
283;13;30;8;1992;31;;"1.53.791";"Пасмурно, холодно, дождь";;;
284;14;13;9;1992;143;;"1.26.119";"Переменная облачность, жарко, сухо";"Герхард Бергер стартовал с пит-лейн";;
285;27;27;9;1992;101;;"1.13.041";"Переменная облачность, тепло, сухо";"Михаэль Шумахер стартовал с конца стартового поля.Агури Сузуки стартовал с пит-лейн.";;
286;22;25;10;1992;143;;"1.40.646";"Переменная облачность, тепло, сухо";;;
287;29;11;8;1992;31;;"1.16.078";"Пасмурно, тепло, сухо";;;
288;33;3;10;1991;62;;"1.26.758";"Облачно, тепло, сухо";"Запланировано 82 круга, но гонка остановлена по истечении 2-х часов";;
289;18;24;3;1991;143;;"1.20.436";"Пасмурно, тепло, влажно";;;
290;20;28;4;1991;78;;"1.26.531";"Пасмурно, тепло, дождь";;;
291;6;5;12;1991;116;;"1.24.360";"Облачно, тепло, сухо";"Мартин Брандл исключен из Гран При за то, что пропустил взвешивание.Пьерлуиджи Мартини наказан штрафом ""stop&go"" за блокирование.";;
292;7;6;2;1991;143;;"1.22.385";"Солнечно, жарко, сухо";"Пьерлуиджи Мартини стартовал с пит-лейн";;
293;32;16;6;1991;143;;"1.16.788";"Облачно, тепло, сухо";"Никола Ларини исключен из Гран При за нарушения в измерениях высоты заднего антикрыла.Оливье Груйяр стартовал с конца стартового поля.Микеле Альборето стартовал с пит-лейн.";;
294;8;7;7;1991;143;;"1.19.168";"Облачно, жарко, сухо";;;
295;9;14;7;1991;143;;"1.26.379";"Солнечно, тепло, сухо";;;
296;10;28;7;1991;118;;"1.43.569";"Облачно, жарко, сухо";"Агури Сузуки стартовал с пит-лейн. Жан Алези прошел всю дистанцию гонки без смены шин.";;
297;11;8;11;1991;92;;"1.21.547";"Переменная облачность, жарко, сухо";;;
298;13;25;8;1991;90;;"1.55.161";"Переменная облачность, тепло, сухо";;;
299;14;9;8;1991;101;;"1.26.061";"Пасмурно, тепло, сухо";;;
300;27;22;9;1991;143;;"1.18.179";"Солнечно, жарко, сухо";"Найджел Мэнселл дисквалифицирован за смену колеса вне зоны пит-стопа. Но лишить его самого быстрого круга в гонке попросту забыли.";;
301;4;29;9;1991;118;;"1.22.837";"Пасмурно, холодно, дождь";"Жан Алези наказан штрафом ""stop&go"" за фальстарт";;
302;22;20;10;1991;101;;"1.41.532";"Солнечно, тепло, сухо";;;
303;29;11;3;1991;78;;"1.41.141";"Пасмурно, тепло, ливень";"Запланирован 81 круг, но гонка остановлена из-за сильного ливня. Присуждена половина очков.";;
304;1;29;3;2009;13;"48";"1.27.706";"Солнечно, тепло, сухо";"Льюис Хэмилтон перемещен на 5 позиций вниз на стартовом поле за смену коробки передач перед гонкой. Ярно Трулли и Тимо Глок стартовали с пит-лейн из-за внесения изменений в конструкцию заднего антикрыла (устранение их излишней гибкости). Себястьян Феттель наказан потерей 10 позиций на стартовом поле в следующей гонке за инициирование столкновения с Робертом Кубицей. Ярно Трулли наказан 25-секундным штрафом за обгон во время нахождения автомобиля безопасности на трассе, но при повторном слушании дела выяснилось, что Льюис Хэмилтон пропустил его вперед по указанию конанды. Штраф отменен.  Льюис Хэмилтон дисквалифицирован за предоставление неполной информации по инциденту с Ярно Трулли.";;
305;2;5;4;2009;18;"18";"1.36.641";"Пасмурно, жарко, ливень";"Себястьян Феттель наказан потерей 10 позиций на стартовом поле за инициирование столкновения с Робертом Кубицей в предыдущей гонке.Рубенс Баррикелло перемещен на 5 позиций вниз на стартовом поле за смену коробки передач перед гонкой.";;
306;17;19;4;2009;14;"42";"1.52.592";"Пасмурно, тепло, дождь";"Тимо Глок перемещен на 5 позиций вниз на стартовом поле за смену коробки передач перед гонкой.Роберт Кубица и Тимо Глок стартовали с пит-лейн.";;
307;3;26;4;2009;9;"10";"1.34.556";"Солнечно, очень жарко, сухо";;;
308;4;10;5;2009;14;"28";"1.22.762";"Солнечно, тепло, сухо";;;
309;6;24;5;2009;2;"50";"1.15.154";"Солнечно, жарко, сухо";"Два лучших времени круга Джанкарло Физикеллы во второй части квалификации аннулированы за срез шикан.Льюис Хэмилтон перемещен на 5 позиций вниз на стартовом поле за смену коробки передач перед гонкой.Тимо Глок стартовал с пит-лейн.";;
310;5;7;6;2009;18;"40";"1.27.579";"Солнечно, жарко, сухо";;;
311;9;21;6;2009;8;"16";"1.20.735";"Пасмурно, свежо, сухо";"Адриан Сутиль стартовал с пит-лейн на запасном шасси";;
312;34;12;7;2009;5;"49";"1.33.365";"Облачно, тепло, сухо";"Марк Уэббер наказан штрафом ""проезд через пит-лейн"" за инициирование столкновения с Рубенсом Баррикелло. Хэмилтон проколол колесо на первом круге. Себастьян Бурдэ возможно провел свою последнюю гонку.";;
313;11;26;7;2009;11;"65";"1.21.931";"Переменная облачность, тепло, сухо";"Травма фелипе массы в квалификации. Неожиданная победа Хэмилтона прорвавшегося в начале гонки. Сход Фернандо Алонсо из за плохо прикрученного колеса на пит-стопеи и последующий штраф 50000 евро на грани дисквалификации на следующую гонку.";;
314;23;23;8;2009;10;"55";"1.38.683";"Солнечно, жарко, сухо";"Лука Бадоер (заменивший массу) наказан штрафом ""проезд через пит-лейн"" за пересечение белой линии на выезде с пит-лейн";;
317;13;30;8;2009;8;"38";"1.47.263";"Переменная облачность, свежо, сухо";"Марк Уэббер наказан штрафом ""проезд через пит-лейн"" за опасный выезд из зоны пит-стопа.";;
318;14;13;9;2009;20;"36";"1.24.739";"Солнечно, жарко, сухо";"Хайме Альгерсуари стартовал с пит-лейн";;
319;15;27;9;2009;5;"53";"1.48.240";"Искусственное освещение, жарко, сухо";"Рубенс Баррикелло перемещен на 5 позиций вниз на стартовом поле за смену коробки передач перед гонкой.

Ник Хайдфельд стартовал с пит-лейн из-за ошибки при установке элементов балласта в квалификации.

*** Нико Росберг наказан штрафом ""проезд через пит-лейн"" за пересечение белой линии на выезде с пит-лейн.

Себастьян Феттель наказан штрафом ""проезд через пит-лейн"" за превышение скорости на пит-лейн.";;
321;22;4;10;2009;11;"50";"1.32.569";"Солнечно, тепло, сухо";"Фернандо Алонсо, Рубенс Баррикелло, Дженсон Баттон и Адриан Сутиль перемещены на 5 позиций вниз на стартовом поле за игнорирование желтых флагов в квалификации.

** Себастьян Буэми перемещен на 5 позиций вниз на стартовом поле за возвращение в боксы на повреждённой машине и создание потенциальной опасности другим гонщикам.

*** Хейкки Ковалайнен и Витантонио Льюцци перемещены на 5 позиций вниз на стартовом поле за смену коробки передач перед гонкой.

**** Марк Уэббер стартовал с пит-лейн.";;
322;33;11;3;1990;78;"";"1.31.050";"Облачно, тепло, сухо";"Филип Альо исключен из Гран При за постороннюю помощь на трассе во время квалификации";;
323;18;25;3;1990;78;"";"1.19.899";"Облачно, жарко, сухо";;;
324;20;13;5;1990;147;"";"1.27.156";"Переменная облачность, жарко, сухо";"Эммануэле Пирро стартовал с конца стартового поля.";;
325;6;27;5;1990;101;"";"1.24.462";"Пасмурно, тепло, сухо";"Гонка остановлена в конце первого круга из-за столкновения Герхарда Бергера и Алена Проста. Рестарт дан на полную дистанцию.

** Нельсон Пике дисквалифицирован за постороннюю помощь на трассе после разворота.";;
326;7;10;6;1990;78;"";"1.22.077";"Пасмурно, тепло, дождь";"Герхард Бергер наказан штрафной минутой за фальстарт.";;
327;32;24;6;1990;116;"";"1.17.958";"Облачно, тепло, сухо";" Роберто Морено исключен из Гран При за постороннюю помощь на трассе после разворота во время тренировки.";;
328;35;8;7;1990;143;"";"1.8.012";"Солнечно, жарко, сухо";" Андреа де Чезарис дисквалифицирован за использование автомобиля легче положенного";;
329;9;15;7;1990;143;"";"1.11.291";"Переменная облачность, жарко, сухо";"Нельсон Пике стартовал с конца стартового поля";;
330;10;29;7;1990;123;"";"1.45.602";"Солнечно, жарко, сухо";" Филип Альо дисквалифицирован за постороннюю помощь на трассе после аварии на старте";;
331;11;12;8;1990;118;"";"1.22.058";"Солнечно, жарко, сухо";;;
332;13;26;8;1990;116;"";"1.55.087";"Пасмурно, тепло, сухо";"Первый старт прерван из-за массового столкновения. Второй старт прерван из-за аварии Паоло Бариллы. Третий старт дан на полную дистанцию.";;
333;14;9;9;1990;101;"";"1.26.254";"Переменная облачность, тепло, сухо";"Гонка остановлена в конце первого круга из-за аварии Дерека Уорика. Рестарт дан на полную дистанцию.";;
334;27;23;9;1990;118;"";"1.18.306";"Переменная облачность, тепло, сухо";" Запланирован 71 круг, но гонка остановлена из-за столкновения Агури Сузуки и Алекса Каффи";;
335;36;30;9;1990;118;"";"1.24.513";"Переменная облачность, жарко, сухо";;;
336;22;21;10;1990;118;"";"1.44.233";"Переменная облачность, жарко, сухо";;;
337;29;4;11;1990;143;"";"1.18.203";"Солнечно, очень жарко, сухо";;;
338;37;26;3;1989;118;"";"1.32.507";"Солнечно, очень жарко, сухо";" Никола Ларини дисквалифицирован за старт с неверной позиции";;
339;20;23;4;1989;116;"";"1.26.795";"Пасмурно, тепло, сухо";"Запланирован 61 круг, но гонка остановлена после 3-х кругов из-за аварии Герхарда Бергера. Рестарт дан на 55 кругов. Результаты суммированы.

Оливье Груйяр дисквалифицирован за обслуживание автомобиля между стартами.";;
340;6;5;7;1989;116;"";"1.25.501";"Пасмурно, тепло, сухо";"Маурисио Гужельмин стартовал с пит-лейн.";;
341;32;28;5;1989;143;"";"1.20.420";"Пасмурно, тепло, сухо";"Пьеркарло Гиндзани исключен из Гран При за то, что пропустил взвешивание.

Гонка остановлена после 2-х кругов из-за аварии. Рестарт дан на полную дистанцию";;
342;33;6;4;1989;101;"";"1.33.969";"Солнечно, жарко, сухо";"Запланирован 81 круг, но гонка остановлена по истечении 2-х часов.

** Маурисио Гужельмин дисквалифицирован за долив тормозной жидкости во время гонки.

*** Иван Капелли стартовал с пит-лейн.";;
343;7;18;6;1989;154;"";"1.31.925";"Пасмурно, тепло, дождь";"Найджел Мэнселл, Алессандро Наннини и Луис-Перес Сала стартовали с пит-лейн.

** Найджел Мэнселл и Алессандро Наннини дисквалифицированы за слишком ранний старт с пит-лейн.

*** Стефан Йоханссон дисквалифицирован за игнорирование черного флага.";;
344;35;7;9;1989;126;"";"1.12.090";"Солнечно, очень жарко, сухо";"Гонка остановлена в конце первого круга из-за массового столкновения. Рестарт дан на полную дистанцию.

** Найджел Мэнселл, Маурисио Гужельмин и Мартин Доннелли стартовали с пит-лейн.";;
345;9;16;7;1989;143;"";"1.12.017";"Солнечно, жарко, сухо";"Маурисио Гужельмин стартовал с пит-лейн";;
346;10;30;7;1989;101;"";"1.45.884";"Облачно, тепло, сухо";"Фолькер Вайдлер исключен из Гран При за постороннюю помощь на трассе.";;
347;11;13;8;1989;143;"";"1.22.637";"Пасмурно, жарко, сухо";;;
348;13;27;8;1989;116;"";"2.11.571";"Пасмурно, тепло, дождь";"Стефано Модена стартовал с пит-лейн.

Эдди Чивер предупрежден за блокирование.";;
349;14;9;10;1989;116;"";"1.28.107";"Переменная облачность, жарко, сухо";"Джонатан Палмер стартовал с конца стартового поля.";;
350;27;24;9;1989;78;"";"1.18.986";"Солнечно, жарко, сухо";"Янник Дальмас исключен из Гран При за тренировку на неверных шинах.

** Никола Ларини исключен из Гран При за то, что пропустил взвешивание.

*** Найджел Мэнселл дисквалифицирован за постороннюю помощь на пит-лейн; получил отложенный штраф на одну гонку за игнорирование черного флага и столкновение с Сенной.";;
351;36;10;1;1989;101;"";"1.25.779";"Солнечно, жарко, сухо";;;
352;22;22;10;1989;116;"";"1.43.506";"Облачно, тепло, сухо";"Айртон Сенна дисквалифицирован за постороннюю помощь на трассе после столкновения с Простом.";;
353;29;11;5;1989;135;"";"1.38.480";"Пасмурно, тепло, дождь";"Гонка остановлена после первого круга из-за дождя и аварии. Рестарт дан на полную дистанцию. Запланирован 81 круг, но гонка остановлена по истечении 2-х часов.";;
354;37;3;4;1988;78;"";"1.32.943";"Облачно, тепло, сухо";" Запланирован 61 круг, но дистанция сокращена после второго формирующего круга из-за проблем с коробкой передач у Айртона Сенны.

** Айртон Сенна дисквалифицирован за смену автомобиля после формирующего круга.

*** Иван Капелли стартовал с пит-лейн.";;
355;20;1;5;1988;116;"";"1.293685";"Облачно, тепло, сухо";"Никола Ларини исключен из Гран При за то, что не прошел технический контроль.

** Микеле Альборето стартовал с конца стартового поля.

*** Андреа де Чезарис стартовал с пит-лейн.";;
356;6;15;5;1988;101;"";"1.26.321";"Облачно, тепло, сухо";"Стефано Модена исключен из Гран При за то, что пропустил взвешивание.

** Маурисио Гужельмин и Рене Арну стартовали с пит-лейн.";;
357;32;29;5;1988;116;"";"1.18.608";"Облачно, тепло, сухо";"тефано Модена исключен из Гран При за нарушения в измерениях заднего антикрыла.

** Филип Альо стартовал с конца стартового поля.";;
358;7;12;6;1988;101;"";"1.24.973";"Облачно, тепло, сухо";;;
359;38;19;6;1988;116;"";"1.44.836";"Переменная облачность, жарко, сухо";;;
360;35;3;7;1988;116;"";"1.11.737";"Облачно, жарко, сухо";"Пьеркарло Гиндзани исключен из Гран При за то, что пропустил взвешивание";;
361;9;10;7;1988;143;"";"1.23.308";"Пасмурно, холодно, дождь";;;
362;10;24;7;1988;147;"";"2.3.032";"Пасмурно, дождь";" Никола Ларини стартовал с конца стартового поля";;
363;11;7;8;1988;116;"";"1.30.639";"Солнечно, жарко, сухо";;;
364;13;28;8;1988;78;"";"2.0.77";"Облачно, тепло, сухо";"Тьери Бутсен и Алессандро Наннини дисквалифицированы за использование нелегального топлива.";;
365;14;11;9;1988;104;"";"1.29.070";"Переменная облачность, жарко, сухо";"Алессандро Наннини стартовал с пит-лейн";;
366;27;25;9;1988;78;"";"1.21.961";"Солнечно, жарко, сухо";;;
367;36;2;10;1988;116;"";"1.27.845";"Солнечно, жарко, сухо";;;
368;22;30;10;1988;101;"";"1.46.326";"Пасмурно, холодно, дождь";;;
369;29;13;11;1988;116;"";"1.21.216";"Облачно, жарко, сухо";;;
370;37;12;4;1987;134;"";"1.33.861";"Солнечно, жарко, сухо";"Адриан Кампос дисквалифицирован за нарушение стартовой процедуры.";;
371;20;3;5;1987;170;"";"1.29.246";"Облачно, тепло, сухо";"Сатору Накадзима стартовал с пит-лейн";;
372;13;17;5;1987;116;"";"1.57.153";"Пасмурно";"Гонка остановлена на втором круге из-за столкновения Джонатана Палмера и Филипа Стрейффа. Рестарт дан на полную дистанцию.";;
373;6;31;5;1987;101;"";"1.27.685";"Солнечно, тепло, сухо";"Кристиан Даннер исключен из Гран При за столкновение с Микеле Альборето";;
374;38;21;6;1987;101;"";"1.40.464";"Облачно, тепло, сухо";;;
375;35;5;7;1987;134;"";"1.09.548";"Облачно, жарко, сухо";;;
376;9;12;7;1987;143;"";"1.09.832";"Облачно, свежо, сухо";"Пьеркарло Гиндзани исключен из Гран При за дозаправку на трассе во время квалификации.";;
377;10;26;7;1987;143;"";"1.45.716";"Облачно, тепло, сухо";"Иван Капелли стартовал с пит-лейн";;
378;11;9;8;1987;134;"";"1.30.149";"Солнечно, тепло, сухо";;;
379;39;16;8;1987;143;"";"1.28.318";"Облачно, тепло, сухо";"Первый и второй старты прерваны из-за массовых столкновений. Третий старт дан на полную дистанцию.

** Микеле Альборето, Ален Прост, Мартин Брандл, Кристиан Даннер и Паскаль Фабр стартовали с пит-лейн.

*** Мартин Брандл дисквалифицирован за нарушения в измерениях шасси.";;
380;14;6;9;1987;101;"";"1.26.796";"Солнечно, жарко, сухо";;;
381;27;20;9;1987;78;"";"1.19.282";"Переменная облачность, тепло, сухо";"Гонка остановлена после двух кругов из-за массового столкновения на первом круге. Рестарт дан на полную дистанцию.

** Адриан Кампос и Джонатан Палмер стартовали с пит-лейн.";;
382;36;27;9;1987;78;"";"1.26.986";"Облачно, тепло, сухо";;;
383;32;18;10;1987;134;"";"1.19.132";"Солнечно, тепло, сухо";" Гонка остановлена после 30 кругов из-за аварии Дерека Уорика. Рестарт дан на оставшиеся 33 круга. Результаты суммированы.";;
384;22;1;11;1987;116;"";"1.43.844";"Облачно, тепло, сухо";;;
385;29;15;11;1987;78;"";"1.20.416";"Солнечно, жарко, сухо";"Так как команда Larrousse заявила лишь один автомобиль на участие в чемпионате мира, Янник Дальмас не получил очков в зачет чемпионата мира.

** Айртон Сенна дисквалифицирован за увеличенные тормозные каналы.";;
386;37;23;3;1986;134;"";"1.33.546";"Переменная облачность, жарко, сухо";;;
387;36;13;4;1986;143;"";"1.27.176";"Солнечно, сухо";;;
388;20;27;4;1986;134;"";"1.28.667";"Пасмурно, сухо";"Джонатан Палмер стартовал с пит-лейн.";;
389;6;11;5;1986;116;"";"1.26.607";"Солнечно, тепло, сухо";"Жак Лаффит стартовал с конца стартового поля.";;
390;13;25;5;1986;116;"";"1.59.282";"Солнечно, жарко, сухо";"Рикардо Патрезе и Кристиан Даннер стартовали с пит-лейн";;
391;7;15;6;1986;134;"";"1.25.443";"Солнечно, тепло, сухо";" Джонатан Палмер стартовал с пит-лейн.";;
392;38;22;6;1986;134;"";"1.41.233";"Солнечно, жарко, сухо";;;
393;35;6;7;1986;143;"";"1.9.993";"Переменная облачность, тепло, сухо";;;
394;40;13;7;1986;143;"";"1.9.593";"Солнечно, Тепло, сухо";"Гонка остановлена после первого круга из-за массового столкновения на старте. Рестарт дан на полную дистанцию.

** Алессандро Наннини стартовал с пит-лейн.";;
395;10;27;7;1986;78;"";"1.46.604";"Солнечно, тепло, сухо";"Алан Джонс стартовал с конца стартового поля";;
396;11;10;8;1986;134;"";"1.31.001";"Солнечно, жарко, сухо";"Запланировано 77 кругов, но гонка остановлена по истечении 2-х часов";;
397;39;17;8;1986;78;"";"1.29.444";"Солнечно, жарко, сухо";;;
398;14;7;9;1986;170;"";"1.28.099";"Переменная облачность, тепло, сухо";"Тео Фаби стартовал с конца стартового поля.

** Ален Прост дисквалифицирован за смену автомобиля после начала формирующего круга.";;
399;27;21;9;1986;143;"";"1.20.943";"Облачно, тепло, сухо";;;
400;32;12;10;1986;134;"";"1.19.360";"Переменная облачность, жарко, сухо";;;
401;29;26;10;1986;134;"";"1.20.787";"Переменная облачность, тепло, сухо";" Аллен Берг стартовал с пит-лейн";;
402;37;7;4;1985;116;"";"1.36.702";"Солнечно, жарко, сухо";;;
403;27;21;4;1985;101;"";"1.44.121";"Пасмурно, холодно, дождь";"Найджел Мэнселл, Эдди Чивер и Пьерлуиджи Мартини стартовали с пит-лейн.

** Запланировано 69 кругов, но гонка остановлена по истечении 2-х часов.";;
404;20;5;5;1985;104;"";"1.30.961";"Пасмурно, тепло, сухо";"Ален Прост дисквалифицирован за использование автомобиля легче 540 кг.";;
405;6;19;5;1985;104;"";"1.22.637";"Пасмурно, свежо, сухо";;;
406;7;16;6;1985;101;"";"1.27.445";"Облачно, свежо, сухо";"Тео Фаби стартовал с пит-лейн.

** Жак Лаффит наказан штрафной минутой за фальстарт.";;
407;38;23;6;1985;101;"";"1.45.612";"Солнечно, жарко, сухо";;;
408;35;7;7;1985;177;"";"1.39.914";"Солнечно, жарко, сухо";;;
409;9;21;7;1985;116;"";"1.9.886";"Пасмурно, тепло, сухо";"Мартин Брандл стартовал с пит-лейн.

** Гонка остановлена после 65-го круга вместо 66 из-за судейской ошибки.";;
410;34;4;8;1985;182;"";"1.22.806";"Пасмурно, свежо, сухо";;;
411;39;18;8;1985;116;"";"1.29.241";"Облачно, тепло, сухо";"Гонка остановлена в конце первого круга из-за массового столкновения. Рестарт дан на полную дистанцию.";;
412;41;25;8;1985;116;"";"1.16.538";"Облачно, Свежо, сухо";"Патрик Тамбэ стартовал с пит-лейн";;
413;14;8;9;1985;143;"";"1.28.283";"Облачно, жарко, сухо";;;
414;13;15;9;1985;116;"";"1.55.306";"Пасмурно, свежо, влажно";"Первоначально гонка запланирована на 2 июня, но отложена после тренировок в пятницу из-за разрушения покрытия трассы.";;
